typeModification : MODIFICATION/CREATION/SUPPRESSION;id ROP;reference ROP;fibre HS;motif si HS;PTO a creer (oui/non, a preciser en cas de creation de ROP);reference bandeau;reference PTO;statut PTO;type prise;reference prise promoteur;reference logement;id immeuble;reference batiment;reference escalier;reference etage;id PBO;reference PBO;reference cable PBO;couleur tube PBO;couleur fibre PBO;numero fibre tube PBO;numero port PTO;reference PM;reference PMT;localisation PMT;reference cable PM;couleur tube PM;couleur fibre PM;usage operateur;reference module PM;position module PM;client actif
;220023;[BE-SRO-BPI-7674981-SC-10512198-04][BI-10-RUE-CLAUDINE-GUERIN-1 / BE-04 / SOTTEVILLE-LES-ROUEN][Rouge][Rouge];Non;;;;ZM-1676-2845;CONSTRUITE;FTTH;;;ID-7668100005QD;BATIMENT-6;ESCALIER-A;ETAGE-03;20971;BE-SRO-BPI-7674981-SC-10512198-04;BI-10-RUE-CLAUDINE-GUERIN-1 / BE-04 / SOTTEVILLE-LES-ROUEN;Rouge;Rouge;1;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Rose-Bague;Bleu;partage;B2-T6-MODULE-F;14;Non
;233503;[BE-SRO-BPI-7674981-SC-10512198-04][BI-10-RUE-CLAUDINE-GUERIN-1 / BE-04 / SOTTEVILLE-LES-ROUEN][Rouge][Jaune];Non;;;;;;;;;;;;;20971;BE-SRO-BPI-7674981-SC-10512198-04;BI-10-RUE-CLAUDINE-GUERIN-1 / BE-04 / SOTTEVILLE-LES-ROUEN;Rouge;Jaune;4;;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Rose-Bague;Violet;partage;B2-T6-MODULE-F;16;Non
;241582;[BE-SRO-BPI-7674981-SC-10512198-04][BI-10-RUE-CLAUDINE-GUERIN-1 / BE-04 / SOTTEVILLE-LES-ROUEN][Rouge][Vert];Non;;;;ZM-1012-4411;CONSTRUITE;FTTH;;;ID-7668100005QD;BATIMENT-6;ESCALIER-A;ETAGE-04;20971;BE-SRO-BPI-7674981-SC-10512198-04;BI-10-RUE-CLAUDINE-GUERIN-1 / BE-04 / SOTTEVILLE-LES-ROUEN;Rouge;Vert;3;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Rose-Bague;Jaune;partage;B2-T6-MODULE-F;23;Non
;214319;[BE-SRO-BPI-7674981-SC-10771077-01][BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN][Bleu][Rouge];Non;;;;ZM-1162-4426;CONSTRUITE;FTTH;;;ID-7668100005DW;BATIMENT-5;ESCALIER-A;ETAGE-01;16643;BE-SRO-BPI-7674981-SC-10771077-01;BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN;Bleu;Rouge;7;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Marron-2Bagues;Orange;partage;B2-T7-MODULE-E;7;Oui
;215230;[BE-SRO-BPI-7674981-SC-10771077-01][BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN][Rouge][Vert];Non;;;;ZM-1162-4448;CONSTRUITE;FTTH;;;ID-7668100005DW;BATIMENT-5;ESCALIER-A;ETAGE-01;16643;BE-SRO-BPI-7674981-SC-10771077-01;BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN;Rouge;Vert;3;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Marron-2Bagues;Vert;partage;B2-T7-MODULE-E;3;Oui
;220406;[BE-SRO-BPI-7674981-SC-10771077-01][BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN][Rouge][Rouge];Non;;;;ZM-1162-4503;CONSTRUITE;FTTH;;;ID-7668100005DW;BATIMENT-5;ESCALIER-A;ETAGE-02;16643;BE-SRO-BPI-7674981-SC-10771077-01;BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN;Rouge;Rouge;1;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Marron-2Bagues;Rouge;partage;B2-T7-MODULE-E;1;Oui
;234735;[BE-SRO-BPI-7674981-SC-10771077-01][BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN][Rouge][Jaune];Non;;;;ZM-B392-0907;CONSTRUITE;FTTH;;;ID-7668100005DW;BATIMENT-5;ESCALIER-A;ETAGE-01;16643;BE-SRO-BPI-7674981-SC-10771077-01;BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN;Rouge;Jaune;4;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Marron-2Bagues;Jaune;partage;B2-T7-MODULE-E;4;Oui
;236315;[BE-SRO-BPI-7674981-SC-10771077-01][BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN][Rouge][Bleu];Non;;;;;;;;;;;;;16643;BE-SRO-BPI-7674981-SC-10771077-01;BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN;Rouge;Bleu;2;;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Marron-2Bagues;Bleu;partage;B2-T7-MODULE-E;2;Non
;238947;[BE-SRO-BPI-7674981-SC-10771077-01][BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN][Bleu][Bleu];Non;;;;ZM-1162-4492;CONSTRUITE;FTTH;;;ID-7668100005DW;BATIMENT-5;ESCALIER-A;ETAGE-02;16643;BE-SRO-BPI-7674981-SC-10771077-01;BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN;Bleu;Bleu;8;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Marron-2Bagues;Gris;partage;B2-T7-MODULE-E;8;Oui
;241347;[BE-SRO-BPI-7674981-SC-10771077-01][BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN][Bleu][Vert];Non;;;;ZM-1162-4514;CONSTRUITE;FTTH;;;ID-7668100005DW;BATIMENT-5;ESCALIER-A;ETAGE-02;16643;BE-SRO-BPI-7674981-SC-10771077-01;BI-5-CLAUDINE-GUERIN-1 / BE-01-02 / SOTTEVILLE-LES-ROUEN;Bleu;Vert;9;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Marron-2Bagues;Marron;partage;B2-T7-MODULE-E;9;Oui
